Course Name,Instructor,Days,Class Time,Room,Subject,Course Number,Section,Attribute,CRN
SOCIAL RESPONSIBILITY OF BUSINESS,"Wilburn, Kathleen M.","T, Th",15:30 - 16:45,TRUS 215,BUSI,3328,03,"GE MM EXP LEARNING SOC JUSTICE, GE MM WRITING RICH - UPPER",40596
SOCIAL RESPONSIBILITY OF BUSINESS,"Shin, Natalie Jungyoun",M,18:30 - 21:20,None None,BUSI,3328,04,"GE MM EXP LEARNING SOC JUSTICE, GE MM WRITING RICH - UPPER",40597
BUSINESS COMMUNICATION,,Th,18:30 - 21:20,None None,BUSI,3330,01,GE MM WRITING RICH - UPPER,40598
BUSINESS COMMUNICATION,"England, Natalie Jo","T, Th",14:00 - 15:15,TRUS 113,BUSI,3330,02,GE MM WRITING RICH - UPPER,40599
BUSINESS COMMUNICATION,"England, Natalie Jo","T, Th",15:30 - 16:45,TRUS 113,BUSI,3330,03,GE MM WRITING RICH - UPPER,40600
BUSINESS COMMUNICATION,"Campbell, George Michael","M, W",14:00 - 15:15,TRUS 214,BUSI,3330,04,GE MM WRITING RICH - UPPER,40601
BUSINESS COMMUNICATION,,"M, W",15:30 - 16:45,TRUS 104,BUSI,3330,05,GE MM WRITING RICH - UPPER,40602
BUSINESS INTELLIGENCE,"Firouzi, Fatemeh","T, Th",09:30 - 10:45,TRUS 117,BUSI,3333,01,EXCHANGE ELIGIBLE,40603
BUSINESS INTELLIGENCE,"Firouzi, Fatemeh","T, Th",11:00 - 12:15,TRUS 117,BUSI,3333,02,EXCHANGE ELIGIBLE,40604
BUSINESS INTELLIGENCE,"Firouzi, Fatemeh","T, Th",12:30 - 13:45,TRUS 117,BUSI,3333,03,,40605
INTERNSHIP IN BUSINESS ADMIN,"Ortiz, Lorelei A.",,,None None,BUSI,3385,01,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40606
INTERNSHIP IN BUSINESS ADMIN,"Dunn, Mary Bowker",,,None None,BUSI,3385,02,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40607
STRATEGIC MANAGEMENT CAPSTONE,"Amini Sedeh, Amirmahmood","T, Th",11:00 - 12:15,TRUS 205,BUSI,4349,01,GE MM WRITING RICH - UPPER,40608
STRATEGIC MANAGEMENT CAPSTONE,"Lorenz, Thomas","T, Th",09:30 - 10:45,TRUS 203,BUSI,4349,02,GE MM WRITING RICH - UPPER,40609
STRATEGIC BUSINESS ANALYSIS AND PRACTICE,"Brish, Arie","T, Th",14:00 - 15:15,TRUS 116,BUSI,4388,01,,40610
